CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0027,Female,0,No,No,22,Yes,No,No,No,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Credit card,65.14,1437.15,0
CUST0028,Male,0,No,Yes,24,Yes,No,DSL,No internet service,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer,103.97,2493.31,0
CUST0029,Male,0,No,No,11,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Mailed check,58.33,634.79,0
CUST0030,Male,0,Yes,Yes,66,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card,76.25,5036.36,0
CUST0031,Male,0,No,Yes,38,Yes,No,DSL,Yes,Yes,Yes,No internet service,No,Yes,One year,Yes,Bank transfer,72.85,2770.67,0
CUST0032,Female,1,Yes,No,9,Yes,No,DSL,No,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Credit card,89.26,806.3,1
CUST0033,Female,0,Yes,No,29,Yes,Yes,DSL,Yes,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,50.95,1475.36,1
CUST0034,Female,0,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,115.34,3105.06,1
CUST0035,Male,0,Yes,No,17,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,84.17,1437.25,1
CUST0036,Male,0,Yes,No,8,Yes,No phone service,No,No internet service,No internet service,Yes,No,No,No internet service,Month-to-month,No,Credit card,102.64,826.62,0
CUST0037,Female,0,Yes,Yes,12,Yes,Yes,No,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,No,Credit card,45.65,549.59,1
CUST0038,Male,0,No,No,18,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,No,Credit card,93.09,1670.94,1
CUST0039,Male,0,Yes,Yes,28,Yes,No,Fiber optic,No,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,55.36,1547.23,1
CUST0040,Female,0,No,No,46,Yes,No phone service,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,25.29,1164.8,0
CUST0041,Male,0,Yes,Yes,43,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,102.42,4412.76,1
CUST0042,Female,0,No,Yes,67,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,57.87,3881.12,0
CUST0043,Male,0,No,Yes,60,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No,No internet service,Month-to-month,No,Credit card,37.37,2237.48,1
CUST0044,Female,0,No,Yes,41,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,36.11,1472.96,1
CUST0045,Female,0,No,No,71,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,Yes,No internet service,One year,No,Credit card,68.24,4851.24,0
CUST0046,Female,0,No,Yes,21,Yes,No phone service,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,91.14,1915.2,1
CUST0047,Male,0,Yes,No,35,Yes,No,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,81.52,2849.05,1
CUST0048,Male,0,Yes,Yes,51,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes,Two year,Yes,Mailed check,34.96,1778.7,0
CUST0049,Male,0,No,Yes,64,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,One year,No,Bank transfer,89.32,5724.46,1
CUST0050,Male,1,Yes,Yes,20,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,76.02,1529.74,0
CUST0051,Female,0,Yes,No,51,Yes,No phone service,No,No internet service,No,Yes,No,No,No,One year,No,Bank transfer,66.39,3381.63,0
CUST0052,Female,0,Yes,Yes,41,Yes,No,DSL,No,No internet service,Yes,No,No,No internet service,Month-to-month,No,Bank transfer,71.31,2924.55,0
CUST0053,Male,0,No,No,59,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card,73.94,4354.34,0
CUST0054,Male,0,Yes,No,24,Yes,No,No,Yes,No internet service,No,No internet service,No internet service,No internet service,One year,Yes,Credit card,89.74,2154.78,0
CUST0055,Female,0,No,No,65,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No internet service,Two year,No,Electronic check,96.07,6246.32,1
CUST0056,Male,0,Yes,No,33,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Credit card,36.96,1211.65,1
CUST0057,Female,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,113.63,6713.22,0
CUST0058,Male,0,Yes,Yes,27,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer,86.91,2351.49,1
CUST0059,Male,0,Yes,Yes,46,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,Yes,One year,Yes,Credit card,30.44,1392.94,0
CUST0060,Female,0,No,No,66,Yes,No,No,No internet service,No,Yes,Yes,No,No,Two year,No,Electronic check,87.71,5796.68,1
CUST0061,Male,0,Yes,No,6,Yes,Yes,No,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer,24.81,144.32,0
CUST0062,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer,66.72,3472.33,0
CUST0063,Male,0,No,Yes,1,Yes,No,No,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Bank transfer,84.27,85.59,1
CUST0064,Female,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,43.13,2066.7,0
CUST0065,Male,1,Yes,No,22,Yes,No,No,No,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer,56.32,1239.48,0
CUST0066,Male,0,No,No,17,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,No,Mailed check,27.12,466.57,1
CUST0067,Male,0,No,Yes,5,Yes,No,No,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,82.47,421.57,1
CUST0068,Male,0,Yes,Yes,33,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,63.91,2101.59,1
CUST0069,Female,0,Yes,No,35,Yes,No,DSL,No,No,No,No internet service,Yes,No,One year,No,Credit card,47.38,1658.15,0
CUST0070,Male,0,Yes,Yes,8,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer,106.32,860.04,1
CUST0071,Male,0,No,Yes,50,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer,35.77,1786.95,1
CUST0072,Female,0,No,No,37,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,27.95,1037.42,0
CUST0073,Female,0,No,Yes,60,No,Yes,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,No,Mailed check,60.75,3647.23,0
CUST0074,Female,1,No,Yes,23,No,No,DSL,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Bank transfer,102.39,2352.61,0
CUST0075,Female,0,No,No,18,Yes,No,DSL,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Credit card,107.77,1945.59,1
CUST0076,Male,1,No,Yes,30,Yes,No phone service,DSL,No internet service,Yes,No,Yes,Yes,Yes,One year,No,Credit card,20.74,612.72,0
CUST0077,Male,0,No,Yes,40,No,No,DSL,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Credit card,32.01,1289.66,0
CUST0078,Male,1,No,No,18,Yes,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card,73.7,1327.64,0
CUST0079,Male,1,Yes,Yes,3,Yes,No,DSL,Yes,Yes,No,Yes,No internet service,Yes,Two year,No,Credit card,30.77,83.94,0
CUST0080,Female,1,No,Yes,46,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,44.32,2044.35,0
CUST0081,Female,0,Yes,Yes,54,Yes,No phone service,DSL,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,99.14,5356.17,1
CUST0082,Male,0,Yes,No,59,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,No,One year,No,Bank transfer,41.19,2420.5,0
CUST0083,Male,0,No,Yes,25,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,39.99,1003.09,0
CUST0084,Male,0,Yes,No,61,Yes,No,No,No,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,50.38,3070.98,1
CUST0085,Male,0,No,No,38,Yes,No phone service,No,No,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,78.7,2981.33,0
CUST0086,Female,0,Yes,Yes,32,Yes,No phone service,No,No,No,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,41.37,1316.83,0
CUST0087,Male,0,No,Yes,51,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,No,One year,Yes,Bank transfer,68.3,3480.51,0
CUST0088,Female,0,No,Yes,33,Yes,No,DSL,Yes,Yes,No,No internet service,No,Yes,Two year,No,Electronic check,41.27,1371.13,0
CUST0089,Female,0,No,Yes,22,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.61,462.89,1
CUST0090,Male,0,Yes,Yes,31,Yes,No,DSL,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card,57.85,1796.98,1
CUST0091,Female,0,Yes,No,70,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,115.48,8091.5,0
CUST0092,Female,0,Yes,Yes,38,Yes,No phone service,DSL,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer,50.58,1931.42,1
CUST0093,Female,0,Yes,Yes,69,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,96.76,6667.73,0
CUST0094,Male,0,Yes,No,4,Yes,No,No,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card,48.25,194.98,0
CUST0095,Female,0,No,Yes,2,Yes,No phone service,No,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,99.91,208.1,1
CUST0096,Female,0,Yes,No,7,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No internet service,Yes,One year,No,Bank transfer,39.59,284.72,0
CUST0097,Female,0,Yes,No,38,Yes,Yes,No,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,46.07,1751.98,1
CUST0098,Male,0,No,Yes,1,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Credit card,58.74,57.29,0
CUST0099,Male,0,No,Yes,50,Yes,No phone service,No,No internet service,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,22.92,1142.84,0
CUST0100,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,53.88,329.18,0
CUST0101,Female,0,No,Yes,29,Yes,No phone service,No,Yes,Yes,No,No,No internet service,Yes,Two year,No,Bank transfer,37.08,1082.21,0
CUST0102,Male,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,One year,Yes,Bank transfer,72.27,4690.48,0
CUST0103,Male,1,No,No,0,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,110.47,-3.21,1
CUST0104,Female,1,No,Yes,14,Yes,No phone service,No,No internet service,No,No,Yes,No,No,One year,No,Mailed check,81.13,1133.14,1
CUST0105,Female,0,Yes,No,52,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Bank transfer,96.9,5042.9,1
CUST0106,Female,0,Yes,No,51,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card,76.98,3921.98,0
CUST0107,Male,0,Yes,Yes,47,No,Yes,DSL,No,Yes,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,118.21,5557.32,0
CUST0108,Female,0,No,Yes,33,Yes,Yes,No,No,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,73.03,2416.99,1
CUST0109,Female,0,Yes,No,20,Yes,No phone service,No,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card,114.27,2280.21,0
CUST0110,Male,0,No,Yes,57,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,105.89,6036.65,1
CUST0111,Male,0,No,Yes,59,Yes,No,DSL,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,93.35,5503.03,1
CUST0112,Female,0,Yes,Yes,67,Yes,No phone service,No,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card,86.06,5769.67,1
CUST0113,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,No,No,No internet service,One year,No,Bank transfer,64.12,3724.61,0
CUST0114,Male,1,Yes,No,33,Yes,No phone service,No,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,44.84,1475.36,0
CUST0115,Female,0,Yes,Yes,40,Yes,No,No,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer,82.91,3310.66,0
CUST0116,Female,0,No,Yes,36,Yes,No phone service,DSL,No internet service,No,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,55.75,2010.5,0
CUST0117,Female,0,Yes,Yes,40,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,87.11,3492.14,0
CUST0118,Female,1,No,Yes,38,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,47.83,1814.41,1
CUST0119,Female,1,No,No,52,Yes,Yes,No,No internet service,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,86.93,4523.2,0
CUST0120,Female,0,Yes,Yes,36,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No,No internet service,Two year,Yes,Credit card,72.15,2594.97,0
CUST0121,Female,1,Yes,No,70,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,36.96,2582.1,1
CUST0122,Male,0,Yes,Yes,69,Yes,No,Fiber optic,Yes,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,71.8,4951.52,1
CUST0123,Female,0,Yes,No,18,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,101.2,1814.55,0
CUST0124,Female,1,No,No,24,Yes,No,No,No internet service,Yes,Yes,No internet service,No,Yes,Two year,Yes,Bank transfer,38.56,919.71,0
CUST0125,Female,1,No,Yes,63,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,Yes,Two year,Yes,Bank transfer,56.92,3585.94,0
CUST0126,Female,0,No,Yes,62,Yes,Yes,No,Yes,No,Yes,No,No,No internet service,One year,No,Bank transfer,83.67,5192.21,1
CUST0127,Male,0,Yes,Yes,17,Yes,Yes,DSL,No internet service,No,Yes,No,No,No internet service,Month-to-month,No,Bank transfer,101.01,1708.79,0
CUST0128,Male,0,No,No,49,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Two year,No,Credit card,57.25,2802.79,0
CUST0129,Male,0,No,No,45,Yes,Yes,No,Yes,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Credit card,25.6,1143.68,1
CUST0130,Female,0,Yes,Yes,65,Yes,No phone service,DSL,Yes,No,No internet service,Yes,Yes,No,Two year,No,Bank transfer,86.02,5596.87,0
CUST0131,Female,0,Yes,Yes,31,Yes,No,No,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Mailed check,83.51,2596.37,1
CUST0132,Male,0,Yes,Yes,25,No,No,DSL,No,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer,98.61,2470.51,0
CUST0133,Male,0,Yes,Yes,52,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.91,1247.31,1
CUST0134,Female,1,Yes,No,35,Yes,No,No,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card,64.2,2240.09,1
CUST0135,Female,0,No,Yes,10,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,116.15,1167.88,1
CUST0136,Male,0,Yes,No,13,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.37,533.74,1
CUST0137,Male,0,Yes,Yes,19,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,41.63,793.35,0
CUST0138,Male,1,Yes,Yes,39,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,72.37,2813.16,0
CUST0139,Female,0,Yes,No,11,Yes,No,Fiber optic,No,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,94.51,1031.34,1
CUST0140,Male,0,Yes,No,32,Yes,No,No,No internet service,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,92.44,2951.92,1
CUST0141,Female,0,Yes,Yes,6,Yes,Yes,No,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,74.15,436.48,1
CUST0142,Female,1,No,Yes,16,Yes,No,No,No,Yes,No internet service,Yes,No,No,One year,No,Mailed check,119.8,1909.37,1
CUST0143,Male,1,Yes,Yes,61,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Credit card,98.92,6026.6,1
CUST0144,Male,0,Yes,No,66,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,75.21,4966.18,1
CUST0145,Female,0,Yes,No,56,Yes,No phone service,DSL,No,No internet service,No,No,Yes,Yes,Two year,No,Bank transfer,64.65,3621.61,0
CUST0146,Male,0,No,No,66,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,One year,No,Credit card,49.73,3283.42,0
CUST0147,Female,0,Yes,Yes,59,Yes,Yes,No,No,No,No,No internet service,No,Yes,Two year,No,Credit card,56.52,3344.41,0
CUST0148,Female,1,Yes,Yes,59,Yes,No,DSL,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,54.96,3240.0,0
CUST0149,Female,0,Yes,No,8,Yes,No phone service,No,No,No internet service,Yes,No,No internet service,Yes,One year,No,Bank transfer,57.41,457.89,0
CUST0150,Female,0,No,No,46,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,92.09,4237.32,1
CUST0151,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,Yes,Yes,One year,No,Mailed check,101.19,1822.65,0
CUST0152,Female,0,Yes,No,36,Yes,No,DSL,No internet service,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Mailed check,113.6,4091.02,1
CUST0153,Male,0,Yes,Yes,48,Yes,No,No,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,22.39,1080.09,0
CUST0154,Female,1,Yes,Yes,6,Yes,No,DSL,No internet service,No,No,Yes,No,No internet service,Month-to-month,No,Credit card,49.16,304.42,0
CUST0155,Male,0,Yes,No,15,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No,Yes,One year,No,Credit card,90.44,1346.62,0
CUST0156,Male,0,No,Yes,56,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer,93.53,5241.43,1
CUST0157,Female,0,No,No,69,Yes,No,No,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,107.9,7450.18,1
CUST0158,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No internet service,Month-to-month,No,Credit card,40.2,1577.72,1
CUST0159,Male,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,Yes,One year,No,Bank transfer,22.4,384.4,0
CUST0160,Female,0,Yes,Yes,26,Yes,No phone service,DSL,Yes,No,No,No,Yes,No internet service,Two year,No,Bank transfer,105.9,2744.89,1
CUST0161,Female,0,No,Yes,26,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,63.14,1640.43,0
CUST0162,Female,1,Yes,Yes,16,No,Yes,No,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card,29.95,484.27,0
CUST0163,Male,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,Two year,Yes,Bank transfer,105.53,413.71,0
CUST0164,Female,0,Yes,No,39,Yes,No phone service,DSL,No,Yes,No,No internet service,No,No internet service,Month-to-month,No,Credit card,58.5,2273.05,0
CUST0165,Female,0,No,No,46,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,Yes,One year,No,Electronic check,66.3,3057.98,0
CUST0166,Female,1,No,No,31,Yes,No phone service,No,No internet service,No,No,Yes,Yes,Yes,Two year,No,Credit card,108.99,3370.64,0
CUST0167,Female,0,No,Yes,62,Yes,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,114.87,7114.29,1
CUST0168,Male,0,Yes,Yes,29,Yes,No,No,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer,89.11,2585.73,0
CUST0169,Male,0,Yes,No,17,Yes,No phone service,DSL,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,96.65,1639.49,1
CUST0170,Female,0,Yes,No,2,Yes,Yes,DSL,No,No,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,42.12,94.15,1
CUST0171,Female,0,No,Yes,48,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card,27.08,1296.75,0
CUST0172,Male,0,Yes,No,71,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer,70.93,5030.72,1
CUST0173,Male,1,No,Yes,54,Yes,No,DSL,No,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,22.89,1236.3,0
CUST0174,Female,0,Yes,No,29,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,22.41,652.16,0
